# Axial profile TIC nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 2.128804434E+01 4.338846233E+00 1.276659957E+03 5.991238087E+06 3.591924833E+03 1.022234054E+00 2.275786726E-01 2.519340648E-01 7.346357860E-03 3.890578708E-01 6.331155900E-02 4.852243791E-02
 2.342668567E+01 4.307834200E+00 1.285689234E+03 5.941287539E+06 3.589350574E+03 1.029993360E+00 2.274142615E-01 2.521928680E-01 7.339419114E-03 3.892120850E-01 6.318277740E-02 4.844733914E-02
 2.562948624E+01 4.297172066E+00 1.288615072E+03 5.924954546E+06 3.588491344E+03 1.032499512E+00 2.273612301E-01 2.522763473E-01 7.337300838E-03 3.892594691E-01 6.314184800E-02 4.842354238E-02
 2.789837083E+01 4.287237230E+00 1.291304162E+03 5.909946964E+06 3.587628381E+03 1.034815302E+00 2.273028048E-01 2.523682956E-01 7.334883473E-03 3.893126282E-01 6.309727221E-02 4.839628201E-02
 3.023532195E+01 4.270563717E+00 1.295834302E+03 5.884788310E+06 3.586209049E+03 1.038710826E+00 2.272091999E-01 2.525156169E-01 7.331047007E-03 3.893973918E-01 6.302561800E-02 4.835307565E-02
 3.264238161E+01 4.237055316E+00 1.305008521E+03 5.833975333E+06 3.583338698E+03 1.046610292E+00 2.270194756E-01 2.528142143E-01 7.323258319E-03 3.895694242E-01 6.288041671E-02 4.826539231E-02
 3.512165306E+01 4.177350512E+00 1.321525763E+03 5.742649982E+06 3.578185636E+03 1.060866677E+00 2.266791495E-01 2.533498339E-01 7.309271029E-03 3.898784724E-01 6.261989673E-02 4.810807114E-02
 3.767530265E+01 4.081653126E+00 1.348579818E+03 5.593421834E+06 3.569564054E+03 1.084377097E+00 2.260901807E-01 2.542766986E-01 7.284701733E-03 3.904182908E-01 6.217085314E-02 4.783173105E-02
 4.030556173E+01 3.978676662E+00 1.377766596E+03 5.433014701E+06 3.561372522E+03 1.109588248E+00 2.256279348E-01 2.550044564E-01 7.266800688E-03 3.908270828E-01 6.180914590E-02 4.763286088E-02
 4.301472859E+01 3.881108718E+00 1.404897404E+03 5.284661147E+06 3.551936745E+03 1.133457964E+00 2.249557782E-01 2.560620631E-01 7.238277310E-03 3.914501638E-01 6.129860031E-02 4.731258120E-02
 4.580517044E+01 3.791172719E+00 1.430195778E+03 5.147281258E+06 3.543630357E+03 1.155700952E+00 2.244050412E-01 2.569287320E-01 7.215423088E-03 3.919558187E-01 6.087638128E-02 4.705734573E-02
 4.867932556E+01 3.708114562E+00 1.454414658E+03 5.016510307E+06 3.535185635E+03 1.177279395E+00 2.237932604E-01 2.578912823E-01 7.189174528E-03 3.925281827E-01 6.041240301E-02 4.676336967E-02
 5.163970532E+01 3.646732769E+00 1.471652555E+03 4.923931977E+06 3.530125713E+03 1.192360674E+00 2.235207268E-01 2.583203319E-01 7.178989849E-03 3.927642379E-01 6.019915683E-02 4.664924584E-02
 5.468889648E+01 3.596812327E+00 1.485628963E+03 4.849356162E+06 3.525037871E+03 1.204828525E+00 2.231580013E-01 2.588909963E-01 7.164248881E-03 3.930864524E-01 5.993038347E-02 4.647629936E-02
 5.782956338E+01 3.548439165E+00 1.499312813E+03 4.776646361E+06 3.520202700E+03 1.217036901E+00 2.228243764E-01 2.594159052E-01 7.150832485E-03 3.933814606E-01 5.968219520E-02 4.631914627E-02
 6.106445028E+01 3.497017711E+00 1.514019293E+03 4.698752942E+06 3.515126279E+03 1.230171780E+00 2.224834120E-01 2.599523849E-01 7.137238613E-03 3.936819156E-01 5.942769343E-02 4.616017361E-02
 6.439638379E+01 3.435443831E+00 1.532132598E+03 4.603219863E+06 3.508505478E+03 1.246543245E+00 2.220003961E-01 2.607122520E-01 7.117341619E-03 3.941154278E-01 5.907063249E-02 4.592736121E-02
 6.782827530E+01 3.368165060E+00 1.551409626E+03 4.502127456E+06 3.502457489E+03 1.263681760E+00 2.216565221E-01 2.612534735E-01 7.104553403E-03 3.944086372E-01 5.880808207E-02 4.577896674E-02
 7.136312356E+01 3.292420918E+00 1.572999937E+03 4.389796017E+06 3.494211091E+03 1.283284321E+00 2.210628308E-01 2.621874163E-01 7.080182907E-03 3.949413220E-01 5.836802917E-02 4.549462777E-02
